Column1;Unnamed: 0;food;Caloric Value;Fat;Saturated Fats;Monounsaturated Fats;Polyunsaturated Fats;Carbohydrates;Sugars;Protein;Dietary Fiber;Cholesterol;Sodium;Water;Vitamin A;Vitamin B1;Vitamin B11;Vitamin B12;Vitamin B2;Vitamin B3;Vitamin B5;Vitamin B6;Vitamin C;Vitamin D;Vitamin E;Vitamin K;Calcium;Copper;Iron;Magnesium;Manganese;Phosphorus;Potassium;Selenium;Zinc;Nutrition Density
214;214;watermelon seed kernels dried;602;512;106;8;303;165;0;306;0;0;1;55;0;2;38;0;2;38;4;32;0;0;0;0;583;7;79;5562;17;8154;6998;0;111;1645
215;215;macadamia nuts raw;38;4;6;31;59;7;2;4;5;0;11;11;0;32;61;0;42;1;66;35;62;0;58;0;45;9;2;68;2;99;193;64;34;10387
216;216;pectin;163;2;52;93;76;452;0;2;43;0;1;44;0;42;25;0;21;17;23;63;0;0;0;0;35;2;14;5;94;1;35;0;2;548
217;217;black walnut dried;31;3;2;8;18;5;18;12;3;0;28;2;0;14;83;0;97;36;56;67;32;0;91;29;31;71;2;101;2;257;262;46;2;8347
218;218;water chestnut canned;70;15;50;68;53;172;34;12;35;0;11;121;0;35;16;0;30;5;3;2;18;0;7;43;56;1;12;7;2;266;1652;99;5;30594
219;219;ginkgo nuts dried;98;6;1;2;2;205;0;29;0;0;45;35;0;1;54;0;10;33;4;2;83;0;0;0;57;2;5;15;59;761;2824;0;2;385
220;220;virginia peanuts raw;822;712;93;369;215;241;58;368;124;0;8;101;0;1;3;0;2;181;26;5;0;0;96;0;1299;16;37;2497;25;5548;100740;42;65;2781
221;221;valencia peanuts roasted;177;154;24;69;53;49;0;81;27;0;4;6;0;52;3;0;68;43;4;72;0;0;0;0;162;3;5;48;5;957;1836;46;9;478
222;222;nesfit diet cereal nestle;75;0;145;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
223;223;corn grits cooked;182;12;2;2;4;379;3;44;21;0;6;2131;0;2;2;0;1;21;1;1;0;0;30;0;26;0;15;18;8;514;694;52;5;497
224;224;amaranth flakes;134;27;5;8;1;27;2;59;36;0;67;11;0;33;25;0;0;1;0;6;1;0;5;7;65;11;7;95;0;1258;1341;9;11;474
225;225;granola;293;146;24;66;47;323;119;82;53;0;10;35;8;3;17;0;2;16;9;2;7;0;67;35;456;4;24;1008;24;2586;3234;87;25;109142
226;226;muesli with fruit nuts;231;34;5;12;14;457;142;43;58;0;1;51;2;4;1776;47;5;55;28;5;0;28;14;38;258;2;59;72;13;1764;2292;83;16;911
227;227;muesli master crumble;124;24;1;198;85;45;42;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;93
228;228;bran flakes;131;8;2;1;5;322;74;4;73;0;2;14;0;3;5;4;11;6;67;3;7;0;90;3;25;176;3;112;916;14;1796;2132;83;45358
